epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10999.7,1.42688,0.95868,1.10243,0.76113,0.81463,0.8461,0.5195,1.33652,0.81577,1.06204,0.000990365,0.000990365,0.000990365
43,11254.4,1.4315,0.96598,1.10281,0.75907,0.83077,0.85293,0.52815,1.32183,0.8093,1.05109,0.000973861,0.000973861,0.000973861
44,11509.4,1.42089,0.9536,1.09498,0.78151,0.82074,0.8594,0.52807,1.31626,0.79396,1.05321,0.000957358,0.000957358,0.000957358
45,11763.4,1.42925,0.96246,1.09981,0.77327,0.82395,0.84793,0.5219,1.31774,0.79995,1.05411,0.000940855,0.000940855,0.000940855
46,12018.2,1.41244,0.94325,1.09369,0.77771,0.82455,0.86275,0.52916,1.31876,0.78448,1.05436,0.000924352,0.000924352,0.000924352
47,12272.1,1.42821,0.94442,1.1034,0.7846,0.81944,0.857,0.53145,1.31551,0.79467,1.05657,0.000907848,0.000907848,0.000907848
48,12526.2,1.41717,0.94779,1.08966,0.77254,0.82181,0.84998,0.5243,1.33076,0.78948,1.05411,0.000891345,0.000891345,0.000891345
49,12780.6,1.40825,0.93867,1.08941,0.78715,0.80393,0.85584,0.52879,1.32304,0.7911,1.05408,0.000874842,0.000874842,0.000874842
50,13038.6,1.41649,0.93862,1.09118,0.79299,0.8187,0.86203,0.5315,1.32162,0.7699,1.05656,0.000858338,0.000858338,0.000858338
51,13296.1,1.40826,0.93664,1.09255,0.77779,0.81755,0.85346,0.52746,1.31919,0.78744,1.05642,0.000841835,0.000841835,0.000841835
52,13551.9,1.40697,0.92443,1.08635,0.75656,0.82414,0.85151,0.52812,1.31461,0.79203,1.05547,0.000825332,0.000825332,0.000825332
53,13809,1.4,0.92342,1.08722,0.77892,0.82749,0.86271,0.53572,1.32012,0.77028,1.05458,0.000808828,0.000808828,0.000808828
54,14063.6,1.40333,0.91462,1.08855,0.74914,0.83392,0.85597,0.52975,1.32278,0.7847,1.05349,0.000792325,0.000792325,0.000792325
55,14323.7,1.39913,0.91529,1.08814,0.7793,0.82685,0.86188,0.53343,1.31652,0.77594,1.05458,0.000775822,0.000775822,0.000775822
56,14581.8,1.39539,0.91206,1.08488,0.7764,0.82566,0.86062,0.53297,1.31177,0.76958,1.04871,0.000759318,0.000759318,0.000759318
57,14837.6,1.39337,0.90539,1.08167,0.78583,0.82071,0.85736,0.53049,1.32155,0.76584,1.05561,0.000742815,0.000742815,0.000742815
58,15092.8,1.39506,0.90372,1.08643,0.77493,0.83249,0.8587,0.53099,1.31693,0.77213,1.05776,0.000726312,0.000726312,0.000726312
59,15347.7,1.39156,0.90557,1.0841,0.7862,0.83872,0.86164,0.537,1.30988,0.76065,1.05268,0.000709809,0.000709809,0.000709809
60,15603.6,1.38866,0.89417,1.08483,0.79402,0.83013,0.86329,0.53921,1.30353,0.75759,1.05086,0.000693305,0.000693305,0.000693305
61,15864.3,1.38639,0.89927,1.07913,0.78007,0.83099,0.85857,0.52941,1.31595,0.77128,1.05661,0.000676802,0.000676802,0.000676802
62,16120.2,1.38923,0.89015,1.07949,0.79495,0.8278,0.8659,0.54152,1.30809,0.7548,1.04679,0.000660299,0.000660299,0.000660299
63,16374.9,1.38212,0.8817,1.07748,0.7884,0.82651,0.8612,0.53621,1.30778,0.75731,1.04597,0.000643795,0.000643795,0.000643795
64,16634.4,1.37412,0.88712,1.08036,0.79024,0.82787,0.86539,0.53841,1.30663,0.75148,1.04903,0.000627292,0.000627292,0.000627292
65,16891.6,1.36313,0.87675,1.07284,0.79084,0.82921,0.86584,0.5388,1.30194,0.75079,1.048,0.000610789,0.000610789,0.000610789
66,17145.7,1.36899,0.88013,1.07921,0.79563,0.82666,0.86422,0.53838,1.3055,0.75202,1.05309,0.000594286,0.000594286,0.000594286
67,17401,1.36902,0.87575,1.0768,0.78207,0.83809,0.8664,0.54031,1.31046,0.74762,1.05228,0.000577782,0.000577782,0.000577782
68,17655.2,1.36331,0.87239,1.07437,0.7748,0.84704,0.87106,0.54014,1.30673,0.74416,1.05001,0.000561279,0.000561279,0.000561279
69,17910.5,1.36553,0.86807,1.06968,0.79966,0.83855,0.87164,0.54214,1.30672,0.74535,1.04852,0.000544776,0.000544776,0.000544776
70,18179,1.3597,0.86124,1.06962,0.78836,0.85026,0.87061,0.5422,1.30309,0.73846,1.04992,0.000528272,0.000528272,0.000528272
71,18447.4,1.36574,0.86167,1.07009,0.78467,0.84655,0.87026,0.54427,1.30374,0.73806,1.05043,0.000511769,0.000511769,0.000511769
72,18704.1,1.34783,0.85524,1.06752,0.77021,0.85042,0.86813,0.54453,1.30325,0.73772,1.05013,0.000495266,0.000495266,0.000495266
