epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1123.99,1.23308,1.85971,1.46016,1.46449,0,0.50518,0.50337,0.45281,0.26002,0.48878,0.53778,0.46823,0.25359,1.56146,2.00232,2.36259,1.80224,0,0.000775822,0.000775822,0.000775822
29,1162.9,1.22922,1.81191,1.51057,1.40615,0,0.49522,0.41444,0.4217,0.21919,0.49522,0.43444,0.43517,0.22944,1.56816,2.02687,2.34983,1.78811,0,0.000742815,0.000742815,0.000742815
30,1201.8,1.21536,1.79595,1.52608,1.40365,0,0.38146,0.47,0.37037,0.20479,0.39112,0.45778,0.41383,0.24046,1.54004,1.87859,2.14995,1.78667,0,0.000709809,0.000709809,0.000709809
31,1240.44,1.1903,1.71531,1.45757,1.37836,0,0.43661,0.42835,0.39145,0.21675,0.5739,0.40667,0.40429,0.22329,1.51928,2.35508,2.11354,1.75729,0,0.000676802,0.000676802,0.000676802
32,1279.13,1.11226,1.72025,1.47285,1.34378,0,0.52218,0.45625,0.4415,0.24267,0.51677,0.44233,0.45786,0.25342,1.45768,1.97553,2.36503,1.74063,0,0.000643795,0.000643795,0.000643795
33,1318.2,1.18758,1.74654,1.43576,1.39833,0,0.47642,0.38667,0.39604,0.21465,0.44405,0.42667,0.42138,0.2329,1.5447,2.00821,2.57065,1.78047,0,0.000610789,0.000610789,0.000610789
34,1357.54,1.18604,1.78617,1.42695,1.38724,0,0.50034,0.45167,0.36928,0.21308,0.5199,0.40432,0.41486,0.24592,1.4547,1.90753,2.70409,1.76044,0,0.000577782,0.000577782,0.000577782
35,1396.91,1.11051,1.64427,1.33924,1.3273,0,0.64538,0.49197,0.50924,0.29574,0.64538,0.49197,0.50995,0.30044,1.44553,1.84299,2.11831,1.68752,0,0.000544776,0.000544776,0.000544776
36,1435.83,1.10927,1.66886,1.32784,1.35402,0,0.48588,0.48653,0.44856,0.261,0.5077,0.50626,0.47597,0.26657,1.4237,1.85633,2.33023,1.73713,0,0.000511769,0.000511769,0.000511769
37,1474.38,1.10282,1.59203,1.22857,1.34592,0,0.70019,0.49227,0.5577,0.32091,0.75301,0.50222,0.6,0.34452,1.49062,1.9998,1.89057,1.72145,0,0.000478762,0.000478762,0.000478762
38,1513.04,1.11291,1.66315,1.33988,1.33556,0,0.43683,0.51,0.45021,0.24627,0.45297,0.57699,0.4654,0.27219,1.53872,1.96683,2.27763,1.73429,0,0.000445756,0.000445756,0.000445756
39,1552.75,1.07977,1.62619,1.20868,1.29145,0,0.40593,0.59778,0.44223,0.25421,0.42209,0.57545,0.44624,0.26429,1.48825,1.91531,2.2312,1.75093,0,0.000412749,0.000412749,0.000412749
40,1591.72,1.00186,1.63426,1.14962,1.28489,0,0.4913,0.56325,0.52008,0.29581,0.59656,0.55138,0.54016,0.31323,1.47315,1.92153,1.84205,1.67551,0,0.000379743,0.000379743,0.000379743
41,1638.02,1.02441,1.44912,1.16489,1.33981,0,0.62858,0.52856,0.55399,0.33738,0.64607,0.54856,0.56786,0.3493,1.47491,1.94886,1.87703,1.6593,0,0.000346736,0.000346736,0.000346736
42,1676.75,0.97652,1.36992,1.04293,1.30675,0,0.776,0.46628,0.5474,0.35034,0.79812,0.48373,0.56299,0.34325,1.4091,1.86913,1.90171,1.63079,0,0.000313729,0.000313729,0.000313729
43,1715.36,0.91274,1.331,0.9838,1.25889,0,0.62832,0.46625,0.52973,0.32581,0.65581,0.48625,0.55525,0.33241,1.3712,1.85023,1.8089,1.62203,0,0.000280723,0.000280723,0.000280723
44,1753.83,0.92705,1.31539,0.98773,1.29713,0,0.7141,0.44222,0.54987,0.32285,0.7141,0.44222,0.54746,0.33229,1.46429,1.96344,1.82639,1.68642,0,0.000247716,0.000247716,0.000247716
45,1792.33,0.89759,1.30279,0.93613,1.25332,0,0.72507,0.47669,0.53317,0.32003,0.71428,0.51615,0.54369,0.32927,1.40693,1.94044,1.94281,1.64154,0,0.00021471,0.00021471,0.00021471
46,1830.83,0.91041,1.26127,0.94951,1.2698,0,0.62076,0.49,0.51779,0.31893,0.72457,0.4858,0.54088,0.32535,1.36844,1.90487,1.98833,1.63305,0,0.000181703,0.000181703,0.000181703
47,1869.59,0.85974,1.25491,0.88595,1.2181,0,0.68579,0.49,0.55092,0.34023,0.72404,0.51,0.587,0.34837,1.40375,1.94337,1.80453,1.63559,0,0.000148696,0.000148696,0.000148696
48,1908.09,0.84983,1.2105,0.86363,1.23271,0,0.60726,0.55,0.56091,0.35131,0.62884,0.58219,0.59607,0.35406,1.43488,1.90969,1.81142,1.64934,0,0.00011569,0.00011569,0.00011569
49,1946.87,0.82348,1.22561,0.82626,1.20901,0,0.66723,0.52222,0.57428,0.35076,0.67028,0.55572,0.59751,0.36201,1.40025,1.8948,1.7236,1.63402,0,8.26832e-05,8.26832e-05,8.26832e-05
50,1986.47,0.81409,1.16225,0.8285,1.22197,0,0.73487,0.52222,0.59176,0.35775,0.68407,0.57337,0.60625,0.3631,1.38991,1.91176,1.71628,1.62821,0,4.96766e-05,4.96766e-05,4.96766e-05
